Node Number,Node Type,Node Name,Intent,Entity Type,Entity,NLU Disabled?,Next Nodes,Message,Rich Asset Type,Rich Asset Content,Answer Required?,Behaviors,Command,Description,Output,Node Input,Parameter Input,Decision Variable,What Next?,Node Tags,Skill Tag,Variable,Platform Flag,Flows,CSS Classname
10100,A,AssignVar - Request Body for Phase 3 CreateClaim,,,,,,,,,,,AssignVariable,Hardcoded global variables so we can skip to the CreateClaim without answering all the questions.,success,,"{
    ""set"": {
        ""PYPESTREAM_TEST"": ""true"",
        ""HIDDEN_FLOW"": ""true"",
        ""QUANTUM_POLICY"": ""QTM"",
        ""POLICY_DEDUCTIBLE"": ""$500"",
        ""INSURED"": ""true"",
        ""FIRSTNAME"": ""Lucas"",
        ""LASTNAME"": ""Yum"",
        ""EMAIL"": ""lyum@pypestream.com"",
        ""PHONE_NUMBER"": ""5103784937"",
        ""PHONE_FORMATTED"": ""5103784937"",
        ""POLICY_NUMBER"": ""6086958246361"",
        ""POLICYADDR1"": ""123 Main Street"",
        ""POLICYADDRCITY"": ""Oakland"",
        ""POLICYADDRPOSTAL"": ""94538"",
        ""POLICYADDRSTATE"": ""CA"",
        ""DOL"": ""2023-02-28"",
        ""LOSS_SUMMARY"": ""Test lost summary text"",
        ""BUILDINGDAMAGE"": ""True"",
        ""THEFT_ON_PREMISE"": ""Yes"",
        ""IS_TRAINING_BOOLEAN"": ""False"",
        ""PRODUCER_CODE"": ""TestCD"",
        ""CLAIM_NUMBER"": ""222TEST"",
        ""INVESTIGATION_PASSED"": ""True"",
        ""POLICE_REPORT"": ""Yes"",
        ""POLICE_DEPARTMENT"": ""Fremont Police Department"",
        ""CASE_NUMBER"": ""Unknown"",
        ""PROPERTY_OWNER"": ""Me or my immediate family who lives with me"",
        ""BUSINESS_PURPOSE"": ""No"",
        ""REPLACEMENT_COST_ENDORSEMENT_PRESENT"": true,
        ""POLICY_LIMIT"": ""$2000""
    }
}",success,true~4|error~99990,,,"FIRSTNAME,LASTNAME,EMAIL,PHONE_NUMBER,PHONE_FORMATTED,POLICY_NUMBER,POLICYADDR1,POLICYADDRCITY,POLICYADDRPOSTAL,POLICYADDRSTATE,DOL,LOSS_SUMMARY,BUILDINGDAMAGE,THEFT_ON_PREMISE,IS_TRAINING_BOOLEAN,PRODUCER_CODE,CLAIM_NUMBER,INVESTIGATION_PASSED,POLICE_REPORT,POLICE_DEPARTMENT,CASE_NUMBER,PROPERTY_OWNER,BUSINESS_PURPOSE,POLICY_DEDUCTIBLE,REPLACEMENT_COST_ENDORSEMENT_PRESENT,POLICY_LIMIT",,,
101010,A,VarCheck - SAVE_NODE,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""SAVE_NODE""}",valid,true~1018|false~101011|error~99990,,,SAVE_NODE,,,
101011,D,Ask which flow to test (Phase 3 or Verisk),,,,,,What would you like to test?,button,Phase 3~4|Verisk Webview~5|Verisk Link~44|Save node~101010,1,disable_input,,,,,,,,,,,,,
10102,D,Ask which Quantum policy to test,,,,,,Which Quantum Policy do you want to test?,button,Quantum 1~10103|Quantum 2~2,1,disable_input,,,,,,,,,,,,,
10103,A,AssignVar - QUANTUM_POLICY (QTM),,,,,,,,,,,AssignVariable,,success,,"{
        ""set"": {
                ""QUANTUM_POLICY"": ""QTM""
 
        }
}",success,true~4|error~99990,,,QUANTUM_POLICY,,,
10104,A,AssignVar - QUANTUM_POLICY (Q2),,,,,,,,,,,AssignVariable,,success,,"{
        ""set"": {
                ""QUANTUM_POLICY"": ""Q2""
 
        }
}",success,true~4|error~99990,,,QUANTUM_POLICY,,,
1011,D,Ask for policy number - Hidden flow,,,,1,1012,Please enter your policy number below.,,,1,,,,,,,,,,,POLICY_NUMBER,,,
1012,D,Ask for phone number - Hidden flow,,,,1,1013,What's your phone number?,,,1,,,,,,,,,,,PHONE_NUMBER,,,
1013,A,FormatPhone - Hidden flow,,,,,,,,,,,FormatPhone,"Takes a string of 10 digits, or 11 digits starting with ""1"", and formats it as XXX-XXX-XXXX / 1-XXX-XXX-XXXX.",success,,"{""input_var"":""PHONE_NUMBER"",""output_var"":""PHONE_FORMATTED""}",success,true~112|false~99990|error~99990,,,"PHONE_NUMBER,PHONE_FORMATTED",,,
1014,D,Testing: ANI Decision,,,,,,,button,"ANI Yes~1015|
ANI No~1016",1,disable_input,,,,,,,,,,,,,
1015,A,AssignVar - ANI Y,,,,,,,,,,,AssignVariable,,success,,"{
        ""set"": {
                ""ANI"": ""Yes""
 
        }
}",success,true~113|error~99990,,,ANI,,,
1016,A,AssignVar - ANI N,,,,,,,,,,,AssignVariable,,success,,"{
        ""set"": {
                ""ANI"": ""No""
 
        }
}",success,true~113|error~99990,,,ANI,,,
1017,A,CheckBQUserData,,,,,,,,,,,CheckBQUserData,"Action node that checks for the ""SAVENODE"" global variable. If it's present, we're going to take the user to that part of the flow (ex. skip to phase 3).

The action node will also check to see if the itemization portion (webview in Phase 3) has been completed. If it's already been completed by the user (which means they're done with Phase 3), we're gonna route them to the ""itemization_completed"" message. - Lucas wuz here (9/25/23)",success,,,success,true~10171|itemization_completed~10301|false~102|error~99990,,,"SESSION_ID,POLICY_NUMBER,SAVE_NODE,VERISK_LINK,FIRSTNAME,LASTNAME,SAVE_NODE,EMAIL,CLAIM_NUMBER,POLICYADDRSTATE,POLICYADDRCITY,POLICYADDRPOSTAL,POLICYADDR1,POLICYADDR2,STOLEN_ITEMS_LIST,PHOTO_URL_LIST,EMAIL,STOLEN_ITEMS_LIST_FINAL,REMARKS_NOTE,POLICE_REPORT,POLICE_DEPARTMENT,CASE_NUMBER,PROPERTY_OWNER,BUSINESS_PURPOSE,INVESTIGATION_PASSED,STOLEN_ITEMS_SUMMARY,STOLEN_ITEM",,,
10171,D,Invisible node for capturing: Policy Number / Phone Number,,,,,1018,"Session ID → {SESSION_ID}

Is Training → {IS_TRAINING_BOOLEAN}

Phone Number → {PHONE_NUMBER}

Policy Number → {POLICY_NUMBER}",,,,,,,,,,,,,,,,,policy_phone_reporting
1018,D,Greet user - User is returning to solution,,,,,,Welcome back {FIRSTNAME}! Are you ready to provide more details on your stolen items?,button,"<<far fa-check>> Yes~440|
<<far fa-ban>> No, end chat~666",1,disable_input,,,,,,,,,,,,,
1019,D,Itemization already completed (User finished phase 3),,,,,666,It looks like you’ve already submitted your claim and the additional info on the stolen items. Your Claim professional will reach out to you shortly with next steps.,,,,,,,,,,,,,,,,,
102,A,GetPolicyAndPhone,,,,,,,,,,,GetPolicyAndPhone,"Description:

This action node will retrieve the policy number, phone number, and is_training_boolean from BQ. Moreover, this script will check if a claim has already been submitted.",success,,,success,true~10200|already_used~1020|error~99990,,,"POLICY_NUMBER,PHONE_NUMBER,IS_TRAINING_BOOLEAN,SESSION_ID,ORIGINATOR,SAVE_NODE",,,
1020,A,VarCheck - SAVE_NODE,,,,,,,,,,,VarCheck,"This VarCheck will be hit when a user revisits the solution after creating a claim.

- If SAVE_NODE is None, that means the user never got to the itemization portion in Phase 3

- If SAVE_NODE is valid, we want to route the user to the SAVE_NODE in the solution (where they were previously at).

We need this VarCheck because if the user submits a claim and has a SAVE_NODE set (they're in Phase 3), we want to take them to the right spot. If there wasn't a VarCheck, the user would get the message saying the claim has already been submitted. Lucas - 9/25/23",valid,,"{""global_var_name"":""SAVE_NODE""}",valid,true~1018|false~103|error~103,,,SAVE_NODE,,,
10200,A,"PostToBQTable→ sms_opened

✓",,,,,,,,,,,PostToBQTable,Posts to BQ Table if user has opened the link provided from the CCS Pype.,success,,"{
  ""event"": ""sms_opened""
}",success,true~10201|false~10201|error~99990,,,"POLICY_NUMBER,PHONE_NUMBER,SESSION_ID,LASTURL,USER_PLATFORM,ORIGINATOR,CLAIM_FILER",,,
10201,A,CheckOriginator - ORIGINATOR (IVR or CCS),,,,,,,,,,,CheckOriginator,,success,,,success,ivr~10202|ccs~1021|false~1021|error~99990,,,ORIGINATOR,,,
10202,A,SetVar - GHOST_NODE | For reporting purposes,,,,,,,,,,,SetVar,"If a user is coming via IVR, we'll hit this node so we can capture the data for reporting.",success,,"{""global_vars"":""GHOST_NODE "",""input_var"":""true""}",success,true~10203|error~99990,,,GHOST_NODE,,,
10203,D,Invisible node for capturing: Policy Number / Phone Number,,,,,1022,"Session ID → {SESSION_ID}

Is Training → {IS_TRAINING_BOOLEAN}

Phone Number → {PHONE_NUMBER}

Policy Number → {POLICY_NUMBER}",,,,,,,,,,,,,,,,,policy_phone_reporting
1021,D,Invisible node for capturing: Policy Number / Phone Number,,,,,1022,"Session ID → {SESSION_ID}

Is Training → {IS_TRAINING_BOOLEAN}

Phone Number → {PHONE_NUMBER}

Policy Number → {POLICY_NUMBER}",,,,,,,,,,,,,,,,,policy_phone_reporting
1022,A,FormatPhone,,,,,,,,,,,FormatPhone,"Takes a string of 10 digits, or 11 digits starting with ""1"", and formats it as XXX-XXX-XXXX / 1-XXX-XXX-XXXX.",success,,"{""input_var"":""PHONE_NUMBER"",""output_var"":""PHONE_FORMATTED""}",success,true~111|false~99990|error~99990,,,"PHONE_NUMBER,PHONE_FORMATTED",,,
103,A,CheckLockout,,,,,,,,,,,CheckLockout,,success,,,success,user_in_itemization~1018|user_done~1030|error~99990,,,"POLICE_REPORT,CLAIM_NUMBER",,,
1030,D,Invisible node for capturing: Policy Number / Phone Number,,,,,10300,"Session ID → {SESSION_ID}

Is Training → {IS_TRAINING_BOOLEAN}

Phone Number → {PHONE_NUMBER}

Policy Number → {POLICY_NUMBER}",,,,,,,,,,,,,,,,,policy_phone_reporting
10300,D,Claim Already Submitted,,,,,666,It looks like there has already been a claim submitted for this theft. Please call **1-800-252-4633** for help with your claim.,,,,,,,,,,,,,,,,,
10301,D,Invisible node for capturing: Policy Number / Phone Number,,,,,1031,"Session ID → {SESSION_ID}

Is Training → {IS_TRAINING_BOOLEAN}

Phone Number → {PHONE_NUMBER}

Policy Number → {POLICY_NUMBER}",,,,,,,,,,,,,,,,,policy_phone_reporting
1031,D,Itemization already completed (User finished phase 3),,,,,666,It looks like you’ve already submitted your claim and the additional info on the stolen items. Your Claim professional will reach out to you shortly with next steps.,,,,,,,,,,,,,,,,,
111,A,AssignVar - ANI Check,,,,,,,,,,,AssignVariable,Sets the ANI check to Yes until we pull it in from Traveler's APIs,success,,"{
        ""set"": {
                ""ANI"": ""Yes""
        }
}",success,true~112|error~99990,,,ANI,,,
112,A,CheckOriginator - ORIGINATOR (IVR or CCS),,,,,,,,,,,CheckOriginator,,success,,,success,ivr~1122|ccs~1121|false~1121|error~99990,,,ORIGINATOR,,,
1121,D,Greeting message / New DOL → CCS,,,,,,"Hello, I'm your **Digital Assistant** for filing claims for stolen items. To get started, **when were the items stolen?**",button,<<fal fa-calendar>> Select date~113,1,disable_input,,,,,,,,,,,,,
1122,D,Greeting message / New DOL → IVR,,,,,,"Hello, I'm your **Digital Assistant** for filing claims for stolen items. **To get started, let's confirm:**",quick_reply,"{
  ""type"": ""static"",
  ""options"": [
    {
      ""label"": ""Yes, I am filing a claim for stolen items"",
      ""dest"": 1123
    },
    {
      ""label"": ""No, I'd like to file another type of claim (e.g. Damage from water, wind, fire or hail)"",
      ""dest"": 1124,
      ""url"": ""https://www.travelers.com/reportmyclaim""
    }
  ]
}",1,disable_input,,,,,,,,,,,,,
1123,D,User is filling a theft claim → IVR,,,,,,Please tell me **when the items were stolen**.,button,<<fal fa-calendar>> Select date~113,1,disable_input,,,,,,,,,,,,,
1124,A,"PostEventToBQ → Forced Out (User declined after policy snapshot)

✓",,,,,,,,,,,PostEventToBQ,User declined after seeing the policy snapshot :'(,success,,"{
    ""table_id"": ""travelers_data_2.metric_data_2"",
    ""columns"": {
        ""event"": ""Forced Out"",
        ""forced_out_reason"": ""Filing another type of claim (IVR)"",
        ""session_id"": ""{SESSION_ID}""
    }
}",success,true~11241|hidden_flow~11241|error~99990,,,SESSION_ID,,,
11241,D,Show phone number for non-theft claims → IVR,,,,,666,This method is for filing claims related to stolen items only. Please use the link in the new tab to file a claim not related to stolen items.,,,,,,,,,,,,,,,,,
113,A,GetDates,,,,,,,,,,,GetDates,Retrieves the 1st day of the month from 2 years ago (ex. January 1st of 2021) and the last day of the current month,success,,,success,true~1130|error~99990,,,"FIRST_DAY_TWO_YEARS_AGO,CURRENT_DATE",,,
1130,A,"PostEventToBQ - phase_1_start

✓",,,,,,,,,,,PostEventToBQ,Phase 1 Start,success,,"{
        ""table_id"": ""travelers_data_2.metric_data_2"",
        ""columns"": {
                ""session_id"": ""{SESSION_ID}"",
                ""event"": ""Phase 1 Start"",
                ""phase_3_user_device"": ""{USER_PLATFORM}""

        }

}",success,true~1131|hidden_flow~1131|error~99990,,,"SESSION_ID,USER_PLATFORM",,,
1131,A,SetEnv,,,,,,,,,,,SetEnv,"Sets a global var called ENVIRONMENT equal to the runtime environment we're in. 

I.E. ENVIRONMENT will normally be set to either ""sandbox"" or ""live"".",success,,,success,true~1132|error~99990,,,ENVIRONMENT,,,
1132,D,Custom future-only datepicker (single date),,,,1,1133,,webview,Please select a date~https://preview.pypestream.com/cx/travelers_datepicker_4/index.html?env={ENVIRONMENT}&picker=datepicker&minDate={FIRST_DAY_TWO_YEARS_AGO}&maxDate={CURRENT_DATE},1,,,,,,,,,,,,,,
1133,A,GetEventsDate,,,,,,,,,,,GetEventsDate,"Action node to retrieve JS events specificially for the custom datepicker hosted here: https://preview.pypestream.com/cx/gf_datepicker/index.html

Input:
- {""type"":""single""} for single-date version of the datepicker webview
- {""type"":""range""} for range version of the datepicker webview",success,,"{""type"":""single""}",success,true~1134|false~1134|error~99990,,,"DOL_DISPLAY,DOL",,,
1134,A,ValidateDate - USER_DOL,,,,,,,,,,,ValidateDate,"'- Validates the date format
- Optionally checks if the date is the past / future / not past / not future /present / not present.
- Optionally outputs to a specified date format

Required input:
- global_var_name: name of input global variable will be validated.

Optional input:
- output_format: use it if we want to change date format
- timezone: use timezone if we want to check today in a specified timezone, list of timezone names: https://gist.github.com/heyalexej/8bf688fd67d7199be4a1682b3eec7568
- compare_with_today: one of these values: past, future, present, not_past, not_future, not_present
- compare_with_date: supports: before_date, after_date, not_before_date, not_after_date, not_date. We can use one / all of them at once.

Output:
- success = true --> valid date format with corresponding to compare_with_today value if available.
- success = false --> invalid date format
- success = not_past_false, future_false,... correspond to compare_with_today (not_past, future,...) value if availble.
- success = compare_with_date_false if the compare with dates false
- success = error --> catch all exception error",valid,,"{
  ""global_var_name"": ""DOL"",
  ""compare_with_today"": ""not_future"",
  ""output_format"": ""%m-%d-%Y"",
  ""output_reformatted_date"": ""USER_DOL""
}",valid,true~114|false~1135|not_future_false~1135|error~99990,,,"DOL,USER_DOL,DOL_DISPLAY",,,
1135,D,ValidateDate - False (Date in future),,,,,,"I'm sorry, it looks like you may have chosen a date in the **future**. Please let us know when the items were stolen.",button,<<far fa-calendar>> Select date~113,1,disable_input,,,,,,,,,,,,,
114,D,Confirm date,,,,,,You selected **{DOL_DISPLAY}**. Is this date correct?,button,"<<far fa-check>> Yes, continue~1141|
<<fal fa-edit>> Edit incident date~113",1,disable_input,,,,,,,,,,,,,
1141,A,VarCheck - EDIT_MODE,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""EDIT_MODE""}",valid,true~18|false~115|error~115,,,EDIT_MODE,,,
115,A,GeneratePolicyToken,,,,,,,,,,,GeneratePolicyToken,,success,,,success,true~116|error~99990,,,"POLICY_TOKEN,GENERATE_POLICY_TOKEN_CORRELATION_ID",,,
1150,A,"GeneratePolicyTokenSeriesC

[1/31/24] Testing",,,,,,,,,,,GeneratePolicyTokenSeriesC,,success,,,success,true~1151|error~99990,,,"POLICY_TOKEN,GENERATE_POLICY_TOKEN_CORRELATION_ID",,,
1151,A,"PolicySnapshotSeriesC

[1/31/24] Testing",,,,,,,,,,,PolicySnapshotSeriesC,,success,,,success,true~1160|policy_not_found~1161|false~1161|error~1161,,,"CHATID,POLICY_NUMBER,POLICY_DEDUCTIBLE,DOL,POLICY_TOKEN,POLICY_SNAPSHOT_CORRELATION_ID,POLICY_PERIOD_START_DATE,POLICY_PERIOD_END_DATE,POLICY_ADDRESS,POLICYADDR1,POLICYADDRCITY,POLICYADDRPOSTAL,POLICYADDRSTATE,DWELLING_LIMIT,OTHER_STRUCTURE_LIMIT,PERSONAL_PROPERTY_LIMIT,LOSS_OF_USE_LIMIT,POLICY_SNAPSHOT_ERROR_CORRELATION_ID,QUANTUM_POLICY,POLICY_SUMMARY_STRING,PRODUCER_CODE,REPLACEMENT_COST_ENDORSEMENT_PRESENT,PRODUCER_CODE,POLICY_LIMIT,SNAPSHOT_ID",,,
116,A,PolicySnapshot,,,,,,,,,,,PolicySnapshot,,success,,,success,true~1160|policy_not_found~1161|false~1161|error~1161,,,"CHATID,POLICY_NUMBER,POLICY_DEDUCTIBLE,DOL,POLICY_TOKEN,POLICY_SNAPSHOT_CORRELATION_ID,POLICY_PERIOD_START_DATE,POLICY_PERIOD_END_DATE,POLICY_ADDRESS,POLICYADDR1,POLICYADDRCITY,POLICYADDRPOSTAL,POLICYADDRSTATE,DWELLING_LIMIT,OTHER_STRUCTURE_LIMIT,PERSONAL_PROPERTY_LIMIT,LOSS_OF_USE_LIMIT,POLICY_SNAPSHOT_ERROR_CORRELATION_ID,QUANTUM_POLICY,POLICY_SUMMARY_STRING,PRODUCER_CODE,REPLACEMENT_COST_ENDORSEMENT_PRESENT,PRODUCER_CODE,POLICY_LIMIT,SNAPSHOT_ID",,,
1160,A,MultiVarCheck - Address fields,,,,,,,,,,,MultiVarCheck,,valid,,"{
        ""global_vars"": [""POLICY_ADDRESS"", ""POLICYADDR1"", ""POLICYADDRCITY"", ""POLICYADDRPOSTAL"", ""POLICYADDRSTATE""]
}",valid,all~117|some~11621|none~11621|error~99990,,,"POLICY_ADDRESS,POLICYADDR1,POLICYADDRCITY,POLICYADDRPOSTAL,POLICYADDRSTATE",,,
1161,A,AssignVar - OUTSIDE_POLICY,,,,,,,,,,,AssignVariable,Hardcoded policy address until we get API access,success,,"{
        ""set"": {
                ""OUTSIDE_POLICY"": ""true""
        }
}",success,true~1162|error~99990,,,"POLICYADDR1,POLICYADDR2,POLICYADDRCITY,POLICYADDRSTATE,POLICYADDRPOSTAL",,,
1162,A,VarCheck - POLICY_ADDRESS,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""POLICY_ADDRESS""}",valid,true~121|false~11621|error~11621,,,POLICY_ADDRESS,,,
11621,D,Policy Address Ask,,,,,,"Next, let's collect the **policy address**.",button,<<fal fa-check>> Continue~1163,1,disable_input,,,,,,,,,,,,,
1163,A,SetEnv - Policy Address,,,,,,,,,,,SetEnv,"Sets a global var called ENVIRONMENT equal to the runtime environment we're in. 

I.E. ENVIRONMENT will normally be set to either ""sandbox"" or ""live"".",success,,,success,true~1164|error~99990,,,ENVIRONMENT,,,
1164,A,SetFormID - Policy Address,,,,,,,,,,,SetFormID,"This action node used in conjunction with many embedded webviews. In case a solution has multiple webviews that send JS events to the solution, this action node ensures that they do not get mixed up. It assigns a specific for ID to an upcoming webview, so that events coming from that webview will be associated with this specific ID. 

In essense, this script simply increments FORM_ID by 1, or sets it equal to 1 if it doesn't exist yet.",success,,,success,true~1165|error~99990,,,FORM_ID,,,
1165,D,Address intake widget,,,,1,1166,,webview,Enter your policy address~https://preview.pypestream.com/cx/web-embed/address-form/address_form_v2.0.html?env={ENVIRONMENT}&formId={FORM_ID},1,,,,,,,,,,,,,,
1166,A,GetAddressFromForm - Policy Address,,,,,,,,,,,GetAddressFromForm,,success,,"{
  ""full_display_address"": ""POLICYADDR_PRETTY"",
  ""address_line_1"": ""POLICYADDR1"",
  ""address_line_2"": ""POLICYADDR2"",
  ""city"": ""POLICYADDRCITY"",
  ""state"": ""POLICYADDRSTATE"",
  ""city"": ""POLICYADDRCITY"",
  ""postal_code"": ""POLICYADDRPOSTAL"",
  ""country"": ""POLICYCOUNTRY""
}",success,true~11660|error~1167,,,"FORM_ID,POLICYADDR_PRETTY,POLICYADDR1,POLICYADDR2,POLICYADDRCITY,POLICYADDRSTATE,POLICYADDRCITY,POLICYADDRPOSTAL,POLICYCOUNTRY",,,
11660,A,VarCheck - Apt #,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""POLICYADDR2""}",valid,true~11661|false~116613|error~99990,,,POLICYADDR2,,,
11661,A,SearchTextForRegex - ADDR2,,,,,,,,,,,SearchTextForRegEx,,found_regex,,"{
""input_text"":""POLICYADDR2"",
""output_var"":""POLICYADDR2_OUTPUT"",
""regex"":""^[\\#]?[1-9]?\\d*(\\s*[-\/]\\s*[1-9]\\d*)?(\\s?[a-zA-Z])?[1-9]*(\\s?[1-9]*[\/]{1}[1-9]*)?$""
}",found_regex,true~116611|false~11662|error~99990,,,"POLICYADDR2,POLICYADDR2_OUTPUT",,,
